Tanggal,Hari,Minggu Ke,Status Minggu,Jumlah Roda 2,Jumlah Roda 4,Jumlah Total
2022-01-03,Senin,1,Libur Akademik,385,22,407
2022-01-04,Selasa,1,Libur Akademik,389,23,412
2022-01-05,Rabu,1,Libur Akademik,389,23,412
2022-01-06,Kamis,1,Libur Akademik,387,22,409
2022-01-07,Jumat,1,Libur Akademik,380,22,402
2022-01-08,Sabtu,1,Libur,329,18,347
2022-01-09,Minggu,1,Libur,322,17,339
2022-01-10,Senin,2,Libur Akademik,380,21,401
2022-01-11,Selasa,2,Libur Akademik,383,22,405
2022-01-12,Rabu,2,Libur Akademik,388,22,410
2022-01-13,Kamis,2,Libur Akademik,382,22,404
2022-01-14,Jumat,2,Libur Akademik,378,21,399
2022-01-15,Sabtu,2,Libur,322,18,340
2022-01-16,Minggu,2,Libur,317,18,335
2022-01-17,Senin,3,Libur Akademik,376,22,398
2022-01-18,Selasa,3,Libur Akademik,381,22,403
2022-01-19,Rabu,3,Libur Akademik,388,22,410
2022-01-20,Kamis,3,Libur Akademik,388,22,410
2022-01-21,Jumat,3,Libur Akademik,384,22,406
2022-01-22,Sabtu,3,Libur,328,18,346
2022-01-23,Minggu,3,Libur,324,18,342
2022-01-24,Senin,4,Libur Akademik,384,22,406
2022-01-25,Selasa,4,Libur Akademik,389,23,412
2022-01-26,Rabu,4,Libur Akademik,393,23,416
2022-01-27,Kamis,4,Libur Akademik,395,23,418
2022-01-28,Jumat,4,Libur Akademik,391,22,413
2022-01-29,Sabtu,4,Libur,338,19,357
2022-01-30,Minggu,4,Libur,333,19,352
2022-01-31,Senin,5,Libur Akademik,386,23,409
2022-02-01,Selasa,5,Libur Akademik,393,23,416
2022-02-02,Rabu,5,Libur Akademik,400,23,423
2022-02-03,Kamis,5,Libur Akademik,399,23,422
2022-02-04,Jumat,5,Libur Akademik,392,22,414
2022-02-05,Sabtu,5,Libur,334,19,353
2022-02-06,Minggu,5,Libur,330,19,349
2022-02-07,Senin,6,Libur Akademik,383,22,405
2022-02-08,Selasa,6,Libur Akademik,394,23,417
2022-02-09,Rabu,6,Libur Akademik,393,23,416
2022-02-10,Kamis,6,Libur Akademik,394,22,416
2022-02-11,Jumat,6,Libur Akademik,383,22,405
2022-02-12,Sabtu,6,Libur,329,19,348
2022-02-13,Minggu,6,Libur,318,18,336
2022-02-14,Senin,7,Libur Akademik,379,22,401
2022-02-15,Selasa,7,Libur Akademik,387,22,409
2022-02-16,Rabu,7,Libur Akademik,388,23,411
2022-02-17,Kamis,7,Libur Akademik,391,22,413
2022-02-18,Jumat,7,Libur Akademik,384,22,406
2022-02-19,Sabtu,7,Libur,329,18,347
2022-02-20,Minggu,7,Libur,323,18,341
2022-02-21,Senin,8,Libur Akademik,380,22,402
2022-02-22,Selasa,8,Libur Akademik,395,23,418
2022-02-23,Rabu,8,Libur Akademik,400,23,423
2022-02-24,Kamis,8,Libur Akademik,400,23,423
2022-02-25,Jumat,8,Libur Akademik,389,23,412
2022-02-26,Sabtu,8,Libur,339,19,358
2022-02-27,Minggu,8,Libur,328,18,346
2022-02-28,Senin,9,Libur Akademik,392,23,415
2022-03-01,Selasa,9,Perkuliahan,1912,107,2019
2022-03-02,Rabu,9,Perkuliahan,1917,106,2023
2022-03-03,Kamis,9,Perkuliahan,1915,107,2022
2022-03-04,Jumat,9,Perkuliahan,1901,107,2008
2022-03-05,Sabtu,9,Libur,338,19,357
2022-03-06,Minggu,9,Libur,329,18,347
2022-03-07,Senin,10,Perkuliahan,1891,106,1997
2022-03-08,Selasa,10,Perkuliahan,1906,105,2011
2022-03-09,Rabu,10,Perkuliahan,1910,105,2015
2022-03-10,Kamis,10,Perkuliahan,1898,106,2004
2022-03-11,Jumat,10,Perkuliahan,1876,105,1981
2022-03-12,Sabtu,10,Libur,335,19,354
2022-03-13,Minggu,10,Libur,323,18,341
2022-03-14,Senin,11,Perkuliahan,1881,105,1986
2022-03-15,Selasa,11,Perkuliahan,1894,105,1999
2022-03-16,Rabu,11,Perkuliahan,1896,105,2001
2022-03-17,Kamis,11,Perkuliahan,1881,104,1985
2022-03-18,Jumat,11,Perkuliahan,1875,105,1980
2022-03-19,Sabtu,11,Libur,336,18,354
2022-03-20,Minggu,11,Libur,324,19,343
2022-03-21,Senin,12,Perkuliahan,1898,106,2004
2022-03-22,Selasa,12,Perkuliahan,1891,106,1997
2022-03-23,Rabu,12,Perkuliahan,1916,107,2023
2022-03-24,Kamis,12,Perkuliahan,1918,107,2025
2022-03-25,Jumat,12,Perkuliahan,1905,107,2012
2022-03-26,Sabtu,12,Libur,343,20,363
2022-03-27,Minggu,12,Libur,336,19,355
2022-03-28,Senin,13,Perkuliahan,1902,106,2008
2022-03-29,Selasa,13,Perkuliahan,1918,107,2025
2022-03-30,Rabu,13,Perkuliahan,1931,107,2038
2022-03-31,Kamis,13,Perkuliahan,1920,107,2027
2022-04-01,Jumat,13,Perkuliahan,1906,106,2012
2022-04-02,Sabtu,13,Libur,338,20,358
2022-04-03,Minggu,13,Libur,336,19,355
2022-04-04,Senin,14,Perkuliahan,1898,106,2004
2022-04-05,Selasa,14,Perkuliahan,1917,106,2023
2022-04-06,Rabu,14,Perkuliahan,1912,107,2019
2022-04-07,Kamis,14,Perkuliahan,1911,106,2017
2022-04-08,Jumat,14,Perkuliahan,1893,105,1998
2022-04-09,Sabtu,14,Libur,334,19,353
2022-04-10,Minggu,14,Libur,326,18,344
2022-04-11,Senin,15,Perkuliahan,1887,105,1992
2022-04-12,Selasa,15,Perkuliahan,1895,106,2001
2022-04-13,Rabu,15,Perkuliahan,1893,106,1999
2022-04-14,Kamis,15,Perkuliahan,1887,105,1992
2022-04-15,Jumat,15,Perkuliahan,1878,105,1983
2022-04-16,Sabtu,15,Libur,330,18,348
2022-04-17,Minggu,15,Libur,327,18,345
2022-04-18,Senin,16,Perkuliahan,1884,106,1990
2022-04-19,Selasa,16,Perkuliahan,1891,106,1997
2022-04-20,Rabu,16,Perkuliahan,1899,106,2005
2022-04-21,Kamis,16,Perkuliahan,1908,107,2015
2022-04-22,Jumat,16,Perkuliahan,1885,105,1990
2022-04-23,Sabtu,16,Libur,338,19,357
2022-04-24,Minggu,16,Libur,327,19,346
2022-04-25,Senin,17,Perkuliahan,1897,107,2004
2022-04-26,Selasa,17,Perkuliahan,1913,107,2020
2022-04-27,Rabu,17,Perkuliahan,1910,107,2017
